question,answer
"사고인지 시간 '식사ㆍ휴식 등 -'이고, 날씨 '맑음' 일 때 기온 '4℃', '-'입니다. 인적사고 '기타'이고, 물적사고'없음' 입니다. 공사종류 대분류 '산업환경설비', 중분류 '발전시설' 공사 중 공종 대분류 '기계설비', 중분류 '기계설비공사' 작업에서 사고객체 '기타'(중분류: '기타')와 관련된 사고가 발생했습니다. 작업 프로세스는 '기타'이며, 장소는 '/ STG', 부위는 '기타 / 협소공간' 입니다. 사고 원인은 '1. 협소공간에서 지속적인 작업2. 근골격계질환 교육 미실시'입니다. 재발 방지 대책 및 향후 조치 계획은 무엇인가요?",작업 전 관리자 주간 하에 TBM 실시 및 협소공간 지속작업 시 스트레칭 관련 내용 전달과 특별안전교육을 통한 근골격계질환 관련 교육 실시.
"사고인지 시간 '정규작업 -'이고, 날씨 '맑음' 일 때 기온 '1℃', '지상 20층, 지하 4층'입니다. 인적사고 '넘어짐(미끄러짐)'이고, 물적사고'없음' 입니다. 공사종류 대분류 '건축', 중분류 '건축물' 공사 중 공종 대분류 '건축', 중분류 '철근콘크리트공사' 작업에서 사고객체 '기타'(중분류: '기타')와 관련된 사고가 발생했습니다. 작업 프로세스는 '타설작업'이며, 장소는 '공동주택 / 외부', 부위는 '기타 / 옥탑' 입니다. 사고 원인은 '현장관리미흡'입니다. 재발 방지 대책 및 향후 조치 계획은 무엇인가요?",타설팀 교육 및 바닥 미끄러짐 상태 보완과 현장관리 점검을 통한 재발 방지 대책.
"사고인지 시간 '정규작업 -'이고, 날씨 '맑음' 일 때 기온 '-1℃', '지상 11층, 지하 7층'입니다. 인적사고 '부딪힘'이고, 물적사고'없음' 입니다. 공사종류 대분류 '건축', 중분류 '건축물' 공사 중 공종 대분류 '건축', 중분류 '철근콘크리트공사' 작업에서 사고객체 '건설공구'(중분류: '공구류')와 관련된 사고가 발생했습니다. 작업 프로세스는 '설치작업'이며, 장소는 '업무시설 / 내부', 부위는 '공구류 / 상부(위)' 입니다. 사고 원인은 '수공구 사용 시 집중력 분산'입니다. 재발 방지 대책 및 향후 조치 계획은 무엇인가요?","수공구 사용 시 올바른 자세와 집중력 유지, 협소 공간 내 작업 시 고정용 보조기구 또는 타정기 사용 및 안전 보호 장구 착용의 필요성."
"사고인지 시간 '정규작업 -'이고, 날씨 '맑음' 일 때 기온 '3℃', '-'입니다. 인적사고 '기타'이고, 물적사고'없음' 입니다. 공사종류 대분류 '토목', 중분류 '상하수도' 공사 중 공종 대분류 '토목', 중분류 '관공사' 작업에서 사고객체 '건설기계'(중분류: '굴착기')와 관련된 사고가 발생했습니다. 작업 프로세스는 '굴착작업'이며, 장소는 '하수도 / 인접주변', 부위는 '굴착기 / 옆' 입니다. 사고 원인은 '상기 일시에 재해자가 굴착기와 우수관로 앞쪽에서 굴착잡업 위한 신호를 하던중, 굴착기와 과도한 접근 및 굴착기장비원의 시야확보 부족으로 굴착기 버켓에 오른쪽 발등을 찍힘'입니다. 재발 방지 대책 및 향후 조치 계획은 무엇인가요?",재해자의 불안전한 행동 및 작업 중 장비원의 시야 확보 부족에 대한 관련 안전 교육 실시
"사고인지 시간 '정규작업 -'이고, 날씨 '맑음' 일 때 기온 '5℃', '-'입니다. 인적사고 '부딪힘'이고, 물적사고'없음' 입니다. 공사종류 대분류 '토목', 중분류 '상하수도' 공사 중 공종 대분류 '토목', 중분류 '가설공사' 작업에서 사고객체 '가시설'(중분류: '시스템동바리')와 관련된 사고가 발생했습니다. 작업 프로세스는 '해체작업'이며, 장소는 '상수도 / 내부', 부위는 '시스템동바리 / 바닥' 입니다. 사고 원인은 '시스템 동바리 해체 작업 중 재해자가 멍에를 받아서 안고 미끄러지면서 시스템 횡대에 왼쪽 갈비뼈를 부딪힘'입니다. 재발 방지 대책 및 향후 조치 계획은 무엇인가요?",작업방법 및 순서에 관한 교육 실시.
"사고인지 시간 '정규작업 -'이고, 날씨 '맑음' 일 때 기온 '5℃', '지상 5층, 지하 1층'입니다. 인적사고 '절단, 베임'이고, 물적사고'없음' 입니다. 공사종류 대분류 '건축', 중분류 '건축물' 공사 중 공종 대분류 '건축', 중분류 '철근콘크리트공사' 작업에서 사고객체 '기타'(중분류: '기타')와 관련된 사고가 발생했습니다. 작업 프로세스는 '절단작업'이며, 장소는 '교육연구시설 / 외부', 부위는 '기타 / 상부(위)' 입니다. 사고 원인은 '고속절단기가 정지하지 않은 상태에서 목재 제거를 시도하여 발생. (고속절단기 사용방법의 미숙)'입니다. 재발 방지 대책 및 향후 조치 계획은 무엇인가요?",고속절단기 날의 회전이 완전히 멈춘 후 목재를 제거할 수 있도록 하는 안전교육 실시.
"사고인지 시간 '정규작업 -'이고, 날씨 '흐림' 일 때 기온 '1℃', '지상 3층, 지하 1층'입니다. 인적사고 '떨어짐(2미터 미만)'이고, 물적사고'없음' 입니다. 공사종류 대분류 '건축', 중분류 '건축물' 공사 중 공종 대분류 '건축', 중분류 '철근콘크리트공사' 작업에서 사고객체 '건설공구'(중분류: '사다리')와 관련된 사고가 발생했습니다. 작업 프로세스는 '타설작업'이며, 장소는 '교육연구시설 / 외부', 부위는 '사다리 / 상부(위)' 입니다. 사고 원인은 '사다리 전도방지장치 미설치, 관리감독자 관리 미흡, 작업자 부주의'입니다. 재발 방지 대책 및 향후 조치 계획은 무엇인가요?",안전사고 예방을 위한 교육 강화와 안전관리 인력 보충 예정.
"사고인지 시간 '정규작업 -'이고, 날씨 '맑음' 일 때 기온 '8℃', '지상 2층, 지하 31층'입니다. 인적사고 '질병'이고, 물적사고'없음' 입니다. 공사종류 대분류 '건축', 중분류 '건축물' 공사 중 공종 대분류 '토목', 중분류 '말뚝공사' 작업에서 사고객체 '질병'(중분류: '질병')와 관련된 사고가 발생했습니다. 작업 프로세스는 '정리작업'이며, 장소는 '공동주택 / 외부', 부위는 '질병 / 바닥' 입니다. 사고 원인은 '플랜트 공으로 근무하던 작업자가 작업 내용을 다른 직원에게 인수인계하기 위하여 교반기를 작동하였으나 교반기 날개에 묻어있던 시멘트가 튀어서 알레르기가 발생하였다고 주장'입니다. 재발 방지 대책 및 향후 조치 계획은 무엇인가요?",건설기계 작동 전 이상유무 확인 후 작동할 수 있게 교육 실시.
"사고인지 시간 '정규작업 -'이고, 날씨 '맑음' 일 때 기온 '5℃', '지상 5층, 지하 1층'입니다. 인적사고 '넘어짐(기타)'이고, 물적사고'없음' 입니다. 공사종류 대분류 '건축', 중분류 '건축물' 공사 중 공종 대분류 '건축', 중분류 '도장공사' 작업에서 사고객체 '시설물'(중분류: '건물')와 관련된 사고가 발생했습니다. 작업 프로세스는 '마감작업'이며, 장소는 '교육연구시설 / 외부', 부위는 '건물 / 외부계단' 입니다. 사고 원인은 '난간 도장시 불안전한 자세로 무리하게 도장작업을 진행하다가 사고가 발생함(상체를 숙이지 않고, 사다리를 이용하거나 틈 사이로 손을 집어넣어 작업이 가능한 상태였음)'입니다. 재발 방지 대책 및 향후 조치 계획은 무엇인가요?",사고사례 작업자 교육 실시와 난간대 도장작업 시 사다리 사용 조치에 따른 향후 작업자 통원치료 계획 및 산재처리 요청 대응 예정.
"사고인지 시간 '정규작업 -'이고, 날씨 '맑음' 일 때 기온 '8℃', '지상 29층, 지하 2층'입니다. 인적사고 '넘어짐(미끄러짐)'이고, 물적사고'없음' 입니다. 공사종류 대분류 '건축', 중분류 '건축물' 공사 중 공종 대분류 '기계설비', 중분류 '기계설비공사' 작업에서 사고객체 '기타'(중분류: '기타')와 관련된 사고가 발생했습니다. 작업 프로세스는 '이동'이며, 장소는 '공동주택 / 내부', 부위는 '기타 / 지하' 입니다. 사고 원인은 '매일 아침TBM 시간에 현장 내 결빙 구간 미끄럼 위험에 관하여 전파 및 교육을 진행 하였으나, 작업자의 부주의한 행동으로 인해 발생'입니다. 재발 방지 대책 및 향후 조치 계획은 무엇인가요?",아침조회시간 및 각 공종별 TBM 시간에 사고사례를 전파하고 비슷한 재해가 발생하지 않도록 교육 실시.
"사고인지 시간 '정규작업 -'이고, 날씨 '맑음' 일 때 기온 '1℃', '지상 29층, 지하 2층'입니다. 인적사고 '넘어짐(미끄러짐)'이고, 물적사고'없음' 입니다. 공사종류 대분류 '건축', 중분류 '건축물' 공사 중 공종 대분류 '건축', 중분류 '철근콘크리트공사' 작업에서 사고객체 '기타'(중분류: '기타')와 관련된 사고가 발생했습니다. 작업 프로세스는 '운반작업'이며, 장소는 '공동주택 / 외부', 부위는 '기타 / 하부(아래)' 입니다. 사고 원인은 '작업 중 철근 상부 결빙으로 인해 미끄러져 발등을 다침'입니다. 재발 방지 대책 및 향후 조치 계획은 무엇인가요?","철근배근구간 실족방지망 추가 설치, 결빙구간 염화칼슘 포설, 해당공정 근로자 특별안전교육 실시."
"사고인지 시간 '정규작업 -'이고, 날씨 '맑음' 일 때 기온 '8℃', '지상 8층, 지하 1층'입니다. 인적사고 '끼임'이고, 물적사고'없음' 입니다. 공사종류 대분류 '건축', 중분류 '건축물' 공사 중 공종 대분류 '기계설비', 중분류 '가설공사' 작업에서 사고객체 '건설자재'(중분류: '자재')와 관련된 사고가 발생했습니다. 작업 프로세스는 '설치작업'이며, 장소는 '공장 / 내부', 부위는 '자재 / 상부(위)' 입니다. 사고 원인은 '타워크레인 부위 H빔 설치 시 작업공간이 부족하여 지그 끝단에  H빔을 올리고 작업 중 바깥으로 기울어지는 H빔을 잡으려다 왼쪽손목 협착'입니다. 재발 방지 대책 및 향후 조치 계획은 무엇인가요?",간섭이 발생하는 구간에 3Ton 크레인으로 양중하고 T/L 2대를 사용 설치하는 대책과 조치 계획.
"사고인지 시간 '정규작업 -'이고, 날씨 '맑음' 일 때 기온 '7℃', '-'입니다. 인적사고 '끼임'이고, 물적사고'없음' 입니다. 공사종류 대분류 '토목', 중분류 '철도' 공사 중 공종 대분류 '토목', 중분류 '말뚝공사' 작업에서 사고객체 '토사 및 암반'(중분류: '부석')와 관련된 사고가 발생했습니다. 작업 프로세스는 '정비작업'이며, 장소는 '기타 / 외부', 부위는 '부석 / 바닥' 입니다. 사고 원인은 '토사 천공이르 예측하여 오거 천공하였으나 크고작은 호박돌이 오거에 끼여 제거 작업 중 손가락 끼임 사고 발생'입니다. 재발 방지 대책 및 향후 조치 계획은 무엇인가요?","근로자 특별안전교육 실시와 호박석 끼임시 적절한 도구 사용 교육, 근로자 퇴원 후 경과조치 마련."
"사고인지 시간 '정규작업 -'이고, 날씨 '맑음' 일 때 기온 '7℃', '지상 2층, 지하 5층'입니다. 인적사고 '떨어짐(3미터 이상 ~ 5미터 미만)'이고, 물적사고'없음' 입니다. 공사종류 대분류 '건축', 중분류 '건축물' 공사 중 공종 대분류 '건축', 중분류 '금속공사' 작업에서 사고객체 '건설공구'(중분류: '사다리')와 관련된 사고가 발생했습니다. 작업 프로세스는 '설치작업'이며, 장소는 '공장 / 내부', 부위는 '사다리 / 상부(위)' 입니다. 사고 원인은 '사다리가 미끄러지지 않도록 2인1조 작업 및 하부에서 견고히 잡아주었어야 했으나 미흡했음.'입니다. 재발 방지 대책 및 향후 조치 계획은 무엇인가요?",사다리 사용금지 및 부득이 사용할 경우 사용수칙 준수와 관계법령에 따른 조치예정.
"사고인지 시간 '정규작업 -'이고, 날씨 '맑음' 일 때 기온 '1℃', '지상 29층, 지하 3층'입니다. 인적사고 '화상'이고, 물적사고'없음' 입니다. 공사종류 대분류 '건축', 중분류 '건축물' 공사 중 공종 대분류 '건축', 중분류 '조적공사' 작업에서 사고객체 '기타'(중분류: '기타')와 관련된 사고가 발생했습니다. 작업 프로세스는 '준비작업'이며, 장소는 '공동주택 / 내부', 부위는 '기타 / 바닥' 입니다. 사고 원인은 '106동 필로티에서 조적작업을 위해 점화된 고체연료를 이용하여 예열 중 고체연료를 등지고 전동믹서기를 수리하다가 옷이 화구에 근접하여 불이 옮겨 붙어 재해 발생(2도 화상)'입니다. 재발 방지 대책 및 향후 조치 계획은 무엇인가요?","고체연료 점화 시 방열판을 사용하여 불에 직접적으로 노출되지 않도록 보완하고, 정기안전교육 실시 및 고체연료 취급 작업 전 T.B.M 진행 시 고체연료 취급방법 및 작업절차에 대한 교육을 실시하는 조치."
"사고인지 시간 '정규작업 -'이고, 날씨 '맑음' 일 때 기온 '1℃', '지상 4층, 지하 1층'입니다. 인적사고 '넘어짐(물체에 걸림)'이고, 물적사고'없음' 입니다. 공사종류 대분류 '건축', 중분류 '건축물' 공사 중 공종 대분류 '건축', 중분류 '철골공사' 작업에서 사고객체 '건설자재'(중분류: '철근')와 관련된 사고가 발생했습니다. 작업 프로세스는 '조립작업'이며, 장소는 '공장 / 주건축물(CPM3동) 공장 기초철근조립', 부위는 '철근 / 전기제어동 연결통로 근처, 기초철근조립' 입니다. 사고 원인은 '철근 자재를 이동 통로 주위에 적재  및  작업자의 이동중 주위확인 미흡'입니다. 재발 방지 대책 및 향후 조치 계획은 무엇인가요?","안전교육과 현장 내 정리정돈 철저, 가벼운 사고라도 원청으로 보고하도록 관리체계 정비."
"사고인지 시간 '휴일근무 -'이고, 날씨 '강설' 일 때 기온 '0℃', '지상 4층, 지하 2층'입니다. 인적사고 '깔림'이고, 물적사고'없음' 입니다. 공사종류 대분류 '건축', 중분류 '건축물' 공사 중 공종 대분류 '건축', 중분류 '철근콘크리트공사' 작업에서 사고객체 '건설기계'(중분류: '지게차')와 관련된 사고가 발생했습니다. 작업 프로세스는 '운반작업'이며, 장소는 '기타 / 외부', 부위는 '지게차 / 옆' 입니다. 사고 원인은 '휴일작업 금지날 임의로 현장 출입하여 자재정리정돈 및 현장 주변 야적장으로 지게차 운반작업중 지게발에서 자재가 떨어져 신호수의 발등에 상해를 입힘'입니다. 재발 방지 대책 및 향후 조치 계획은 무엇인가요?",장비 작업 시 일정 거리 확보와 자재를 파렛트에 고정 및 결속하여 상차하는 재발 방지 대책과 사업단을 통한 휴일 작업 금지 특별교육 및 신호수 특별교육 실시의 향후 조치 계획.
"사고인지 시간 '정규작업 -'이고, 날씨 '강설' 일 때 기온 '-2℃', '지상 30층, 지하 4층'입니다. 인적사고 '끼임'이고, 물적사고'없음' 입니다. 공사종류 대분류 '건축', 중분류 '건축물' 공사 중 공종 대분류 '건축', 중분류 '조적공사' 작업에서 사고객체 '기타'(중분류: '기타')와 관련된 사고가 발생했습니다. 작업 프로세스는 '상차 및 하역작업'이며, 장소는 '공동주택 / 내부', 부위는 '기타 / 앞' 입니다. 사고 원인은 '- 근로자의  자재 하역 시 부주의로 발생한 사고'입니다. 재발 방지 대책 및 향후 조치 계획은 무엇인가요?",자재 하역 시 리어카 사용에 대한 특별안전교육 실시와 작업 전 특별안전교육 조치 안내.
"사고인지 시간 '정규작업 -'이고, 날씨 '흐림' 일 때 기온 '-4℃', '지상 23층, 지하 2층'입니다. 인적사고 '넘어짐(미끄러짐)'이고, 물적사고'없음' 입니다. 공사종류 대분류 '건축', 중분류 '건축물' 공사 중 공종 대분류 '건축', 중분류 '철근콘크리트공사' 작업에서 사고객체 '가시설'(중분류: '거푸집')와 관련된 사고가 발생했습니다. 작업 프로세스는 '이동'이며, 장소는 '공동주택 / 외부', 부위는 '거푸집 / 바닥' 입니다. 사고 원인은 '빙결구간에 미끌려 넘어짐'입니다. 재발 방지 대책 및 향후 조치 계획은 무엇인가요?","기상예보 확인 후 구역별 담당구간 지정 및 제설 작업 진행, 지속적인 근로자 안전교육 및 현장 점검 실시와 지속적인 현장 안전점검 실시."
"사고인지 시간 '정규작업 -'이고, 날씨 '맑음' 일 때 기온 '-2℃', '지상 4층, 지하 0층'입니다. 인적사고 '떨어짐(10미터 이상)'이고, 물적사고'없음' 입니다. 공사종류 대분류 '건축', 중분류 '건축물' 공사 중 공종 대분류 '건축', 중분류 '가설공사' 작업에서 사고객체 '가시설'(중분류: '비계')와 관련된 사고가 발생했습니다. 작업 프로세스는 '설치작업'이며, 장소는 '창고시설 / 외부', 부위는 '비계 / 고소' 입니다. 사고 원인은 '이동 중 안전벨트 고리 결속 해체'입니다. 재발 방지 대책 및 향후 조치 계획은 무엇인가요?","안전교육, 위험성 평가 실시, 안전 진단, 안전 작업 계획서 작성 및 안전 지도사 검토를 포함한 재발 방지 대책과 향후 조치 계획으로 안전 진단, 안전 작업 계획서 작성 및 안전 지도사 검토 의뢰."
"사고인지 시간 '정규작업 -'이고, 날씨 '맑음' 일 때 기온 '4℃', '-'입니다. 인적사고 '끼임'이고, 물적사고'없음' 입니다. 공사종류 대분류 '산업환경설비', 중분류 '발전시설' 공사 중 공종 대분류 '건축', 중분류 '철골공사' 작업에서 사고객체 '가시설'(중분류: '비계')와 관련된 사고가 발생했습니다. 작업 프로세스는 '설치작업'이며, 장소는 '/ 내부', 부위는 '비계 / 바닥' 입니다. 사고 원인은 '1) 그라인더 타입 부적정 2) 협소구간 작업자세 불안정'입니다. 재발 방지 대책 및 향후 조치 계획은 무엇인가요?","지면 반발력 약한 세라믹형 그라인더 사용, 협소구간 작업 점검 실시, 근로자 교육 실시."
"사고인지 시간 '작업 전 -'이고, 날씨 '흐림' 일 때 기온 '-1℃', '-'입니다. 인적사고 '넘어짐(미끄러짐)'이고, 물적사고'없음' 입니다. 공사종류 대분류 '토목', 중분류 '항만' 공사 중 공종 대분류 '토목', 중분류 '토공사' 작업에서 사고객체 '기타'(중분류: '기타')와 관련된 사고가 발생했습니다. 작업 프로세스는 '준비작업'이며, 장소는 '기타 / 외부', 부위는 '기타 / 바닥' 입니다. 사고 원인은 '결빙구간에서 보행중 미끄러져 넘어짐'입니다. 재발 방지 대책 및 향후 조치 계획은 무엇인가요?",작업장 및 통로 제빙조치와 결빙 또는 적설구간 작업 시 미끄럼방지용 아이젠 착용을 포함한 안전사고 예방대책 회의 실시.
"사고인지 시간 '정규작업 -'이고, 날씨 '맑음' 일 때 기온 '-10℃', '지상 5층, 지하 2층'입니다. 인적사고 '떨어짐(2미터 이상 ~ 3미터 미만)'이고, 물적사고'없음' 입니다. 공사종류 대분류 '건축', 중분류 '건축물' 공사 중 공종 대분류 '건축', 중분류 '가설공사' 작업에서 사고객체 '가시설'(중분류: '비계')와 관련된 사고가 발생했습니다. 작업 프로세스는 '설치작업'이며, 장소는 '운수시설 / 내부', 부위는 '비계 / 고소' 입니다. 사고 원인은 '작업자 부주의(비계 횡대 고정 미흡)'입니다. 재발 방지 대책 및 향후 조치 계획은 무엇인가요?",비계 횡대 체결상태 점검.
"사고인지 시간 '정규작업 -'이고, 날씨 '맑음' 일 때 기온 '-5℃', '-'입니다. 인적사고 '떨어짐(3미터 이상 ~ 5미터 미만)'이고, 물적사고'없음' 입니다. 공사종류 대분류 '토목', 중분류 '기타' 공사 중 공종 대분류 '토목', 중분류 '토공사' 작업에서 사고객체 '건설기계'(중분류: '덤프트럭')와 관련된 사고가 발생했습니다. 작업 프로세스는 '반출작업'이며, 장소는 '부지조성 / 인접주변', 부위는 '덤프트럭 / 앞' 입니다. 사고 원인은 '차량 결함(브레이크 미작동)'입니다. 재발 방지 대책 및 향후 조치 계획은 무엇인가요?",상하장소 변경 및 안전시설 보완을 통한 안전시공 이행계획.
"사고인지 시간 '정규작업 -'이고, 날씨 '맑음' 일 때 기온 '0℃', '-'입니다. 인적사고 '떨어짐(2미터 이상 ~ 3미터 미만)'이고, 물적사고'없음' 입니다. 공사종류 대분류 '조경', 중분류 '숲' 공사 중 공종 대분류 '기타', 중분류 '기타' 작업에서 사고객체 '건설기계'(중분류: '굴착기')와 관련된 사고가 발생했습니다. 작업 프로세스는 '운반작업'이며, 장소는 '/ 사업장 외부 공영주차장', 부위는 '굴착기 / 바닥' 입니다. 사고 원인은 '지급받은 안전장구류 미착용 및 자재양중 중장비의 전방주시 소홀'입니다. 재발 방지 대책 및 향후 조치 계획은 무엇인가요?","향후 수급인 선정 시 사고사망자 발생확인서 확인 등 산업재해 예방을 위한 안전보건조치를 이행할 수 있는 능력이 충분한 자와 도급계약 체결, 산업안전보건관리비 적정 계상 및 사용 여부 확인, 재해 예방 기술지도 이행 철저, 산재사고 재발 방지 대책 마련 및 사고 산재 처리 등 필요 행정절차 이행."
